event_key,county,event_id,outage_start,outage_end,n_pre,n_during,n_post,total_images,avg_snow_frac,max_snow_frac
Dallas_201504190045_201504200030,Dallas,Texas-2,2015-04-19,2015-04-20,1,1,2,4,0.0,0.0
Dallas_201504250015_201504251530,Dallas,Texas-4,2015-04-25,2015-04-25,3,0,3,6,0.0002969397044716316,0.0017816382268297896
Dallas_201505270015_201505271345,Dallas,Texas-5,2015-05-27,2015-05-27,1,0,2,3,0.0005641854384961,0.0011580648474393631
Dallas_201505271900_201505281030,Dallas,Texas-5,2015-05-27,2015-05-28,1,0,3,4,0.000423139078872075,0.0011580648474393631
Dallas_201505290500_201505300645,Dallas,Texas-6,2015-05-29,2015-05-30,1,0,5,6,0.00028209271924805,0.0011580648474393631
Dallas_201910210215_201910260645,Dallas,Texas-20,2019-10-21,2019-10-26,4,3,2,9,1.9795980298108774e-05,0.00017816382268297896
Dallas_202008162100_202008181615,Dallas,Texas-14,2020-08-16,2020-08-18,4,1,4,9,0.0,0.0
Dallas_202102140915_202102181515,Dallas,Texas-1,2021-02-14,2021-02-18,0,1,5,6,0.3505578740141886,0.795343915565718
Dallas_202102181530_202102211230,Dallas,Texas-1,2021-02-18,2021-02-21,1,3,4,8,0.26291840551064144,0.795343915565718
Dallas_202209042000_202209070545,Dallas,Texas-8,2022-09-04,2022-09-07,1,4,3,8,0.0002436215604775342,0.0011580648474393631
Dallas_202303030030_202303050145,Dallas,Texas-10,2023-03-03,2023-03-05,1,2,2,5,0.00010689829360978737,0.0005344914680489369
Harris_201708281215_201709011700,Harris,Texas-3,2017-08-28,2017-09-01,1,1,2,4,0.0011399735889858651,0.004559894355943461
Harris_201801152200_201801161500,Harris,Texas-1,2018-01-15,2018-01-16,3,1,2,6,0.003067602108905125,0.01465398957622731
Harris_201801162215_201801171415,Harris,Texas-1,2018-01-16,2018-01-17,4,1,1,6,0.003067602108905125,0.01465398957622731
Harris_201801182015_201801190830,Harris,Texas-1,2018-01-18,2018-01-19,4,1,0,5,0.0036811225306861506,0.01465398957622731
Harris_201804161315_201804170015,Harris,Texas-4,2018-04-16,2018-04-17,3,2,0,5,0.0,0.0
Harris_201805271415_201805290930,Harris,Texas-8,2018-05-27,2018-05-29,3,3,4,10,0.002122710711039431,0.009553836463029933
Harris_201805291815_201805300630,Harris,Texas-8,2018-05-29,2018-05-30,4,2,3,9,0.0014292364927845464,0.009553836463029933
Harris_201811031330_201811041030,Harris,Texas-10,2018-11-03,2018-11-04,3,1,0,4,4.141677014723389e-07,1.6566708058893556e-06
Harris_202005280515_202005300515,Harris,Texas-2,2020-05-28,2020-05-30,2,1,2,5,0.0009880016537256147,0.002957157388512502
Harris_202007121330_202007141930,Harris,Texas-23,2020-07-12,2020-07-14,3,3,5,11,0.000439536519065554,0.002720805686872287
Harris_202208102245_202208120945,Harris,Texas-32,2022-08-10,2022-08-12,0,0,4,4,0.00041071630396006967,0.0011265361480047626
Harris_202301252330_202301280415,Harris,Texas-0,2023-01-25,2023-01-28,1,3,0,4,0.001572456706589981,0.0037551204933492085
