county,event_key,event_id,outage_start,outage_end,total_days,usable_days,usable_ratio
Dallas,Dallas_201505290500_201505300645,Texas-6,2015-05-29,2015-05-30,3,3,1.0
Dallas,Dallas_201505271900_201505281030,Texas-5,2015-05-27,2015-05-28,1,1,1.0
Harris,Harris_202007121330_202007141930,Texas-23,2020-07-12,2020-07-14,13,11,0.8461538461538461
Harris,Harris_201805291815_201805300630,Texas-8,2018-05-29,2018-05-30,12,9,0.75
Dallas,Dallas_202008162100_202008181615,Texas-14,2020-08-16,2020-08-18,13,9,0.6923076923076923
Dallas,Dallas_202102181530_202102211230,Texas-1,2021-02-18,2021-02-21,70,40,0.5714285714285714
Dallas,Dallas_202209042000_202209070545,Texas-8,2022-09-04,2022-09-07,14,8,0.5714285714285714
Dallas,Dallas_201910210215_201910260645,Texas-20,2019-10-21,2019-10-26,16,9,0.5625
Dallas,Dallas_201504250015_201504251530,Texas-4,2015-04-25,2015-04-25,11,6,0.5454545454545454
Harris,Harris_201801152200_201801161500,Texas-1,2018-01-15,2018-01-16,12,6,0.5
Harris,Harris_201805271415_201805290930,Texas-8,2018-05-27,2018-05-29,2,1,0.5
Harris,Harris_201801162215_201801171415,Texas-1,2018-01-16,2018-01-17,13,6,0.46153846153846156
Harris,Harris_201804161315_201804170015,Texas-4,2018-04-16,2018-04-17,12,5,0.4166666666666667
Harris,Harris_202005280515_202005300515,Texas-2,2020-05-28,2020-05-30,26,10,0.38461538461538464
Dallas,Dallas_202303030030_202303050145,Texas-10,2023-03-03,2023-03-05,13,5,0.38461538461538464
Dallas,Dallas_201504190045_201504200030,Texas-2,2015-04-19,2015-04-20,24,8,0.3333333333333333
Harris,Harris_201811031330_201811041030,Texas-10,2018-11-03,2018-11-04,12,4,0.3333333333333333
Harris,Harris_201801182015_201801190830,Texas-1,2018-01-18,2018-01-19,16,5,0.3125
Harris,Harris_202208102245_202208120945,Texas-32,2022-08-10,2022-08-12,13,4,0.3076923076923077
Harris,Harris_202301252330_202301280415,Texas-0,2023-01-25,2023-01-28,28,8,0.2857142857142857
Dallas,Dallas_201505270015_201505271345,Texas-5,2015-05-27,2015-05-27,22,6,0.2727272727272727
Harris,Harris_201708281215_201709011700,Texas-12,2017-08-28,2017-09-01,60,16,0.26666666666666666
Dallas,Dallas_202102140915_202102181515,Texas-1,2021-02-14,2021-02-18,12,0,0.0
