event_key,phase,county,buffer_min,buffer_mean,nonbuffer_min,nonbuffer_mean,n_images,avg_snow_frac,outage_start,outage_end
Dallas_201504190045_201504200030,during,Dallas,0.7962160110473633,0.7962160110473633,4.3640828132629395,4.3640828132629395,1,0.0,2015-04-19,2015-04-20
Dallas_201504190045_201504200030,post,Dallas,0.5844708681106567,0.6020803153514862,3.219729423522949,3.4204334020614624,2,0.0,2015-04-19,2015-04-20
Dallas_201504190045_201504200030,pre,Dallas,0.5886205434799194,0.5886205434799194,3.0702195167541504,3.0702195167541504,1,0.0,2015-04-19,2015-04-20
Dallas_201504250015_201504251530,post,Dallas,0.5963919162750244,0.6635101238886515,3.1345584392547607,3.518442471822103,3,0.0005938794089432632,2015-04-25,2015-04-25
Dallas_201504250015_201504251530,pre,Dallas,0.5844708681106567,0.6667922139167786,3.219729423522949,3.734983205795288,3,0.0,2015-04-25,2015-04-25
Dallas_201505270015_201505271345,post,Dallas,0.5908525586128235,0.6382258832454681,3.164905309677124,3.3683810234069824,2,0.0002672457340244684,2015-05-27,2015-05-27
Dallas_201505270015_201505271345,pre,Dallas,0.4413977861404419,0.4413977861404419,2.730057716369629,2.730057716369629,1,0.0011580648474393631,2015-05-27,2015-05-27
Dallas_201505271900_201505281030,post,Dallas,0.5908525586128235,0.6535884340604147,3.164905309677124,3.4470231533050537,3,0.00017816382268297896,2015-05-27,2015-05-28
Dallas_201505271900_201505281030,pre,Dallas,0.4413977861404419,0.4413977861404419,2.730057716369629,2.730057716369629,1,0.0011580648474393631,2015-05-27,2015-05-28
Dallas_201505290500_201505300645,post,Dallas,0.5908525586128235,0.6437775015830993,3.164905309677124,3.352951431274414,5,0.00010689829360978737,2015-05-29,2015-05-30
Dallas_201505290500_201505300645,pre,Dallas,0.4413977861404419,0.4413977861404419,2.730057716369629,2.730057716369629,1,0.0011580648474393631,2015-05-29,2015-05-30
Dallas_201910210215_201910260645,during,Dallas,0.6578242778778076,0.6997597217559814,3.471651792526245,3.7770913441975913,3,5.938794089432632e-05,2019-10-21,2019-10-26
Dallas_201910210215_201910260645,post,Dallas,0.6628106832504272,0.6808251440525055,3.496379852294922,3.5152138471603394,2,0.0,2019-10-21,2019-10-26
Dallas_201910210215_201910260645,pre,Dallas,0.4763000011444092,0.6695612519979477,3.7494401931762695,3.945372521877289,4,0.0,2019-10-21,2019-10-26
Dallas_202008162100_202008181615,during,Dallas,0.7787007093429565,0.7787007093429565,4.212226390838623,4.212226390838623,1,0.0,2020-08-16,2020-08-18
Dallas_202008162100_202008181615,post,Dallas,0.6930077075958252,0.7435328960418701,3.6713621616363525,3.9398695826530457,4,0.0,2020-08-16,2020-08-18
Dallas_202008162100_202008181615,pre,Dallas,0.6330164074897766,0.7365330308675766,3.752976655960083,4.016308844089508,4,0.0,2020-08-16,2020-08-18
Dallas_202102140915_202102181515,during,Dallas,1.396667242050171,1.396667242050171,7.641512393951416,7.641512393951416,1,0.795343915565718,2021-02-14,2021-02-18
Dallas_202102140915_202102181515,post,Dallas,0.7366374731063843,0.969528591632843,3.815427303314209,5.221500492095947,5,0.26160066570388274,2021-02-14,2021-02-18
Dallas_202102181530_202102211230,during,Dallas,0.83669114112854,1.0972543557484944,4.951923847198486,6.0967075030008955,3,0.4353775361270808,2021-02-18,2021-02-21
Dallas_202102181530_202102211230,post,Dallas,0.7366374731063843,0.7792382091283798,3.815427303314209,4.019112944602966,4,0.00046768003454281977,2021-02-18,2021-02-21
Dallas_202102181530_202102211230,pre,Dallas,1.396667242050171,1.396667242050171,7.641512393951416,7.641512393951416,1,0.795343915565718,2021-02-18,2021-02-21
Dallas_202209042000_202209070545,during,Dallas,0.6900294423103333,0.756070464849472,3.614804983139038,3.9497514963150024,4,6.410404208299342e-05,2022-09-04,2022-09-07
Dallas_202209042000_202209070545,post,Dallas,0.7727518081665039,0.8307981689771017,4.09694242477417,4.552146116892497,3,0.00017816382268297896,2022-09-04,2022-09-07
Dallas_202209042000_202209070545,pre,Dallas,0.8139100670814514,0.8139100670814514,4.6129865646362305,4.6129865646362305,1,0.0011580648474393631,2022-09-04,2022-09-07
Dallas_202303030030_202303050145,during,Dallas,0.8373838663101196,0.8806545436382294,4.416916847229004,4.674890756607056,2,0.0,2023-03-03,2023-03-05
Dallas_202303030030_202303050145,post,Dallas,0.7565391063690186,0.7754863202571869,4.16180419921875,4.257258892059326,2,0.0002672457340244684,2023-03-03,2023-03-05
Dallas_202303030030_202303050145,pre,Dallas,0.7775488495826721,0.7775488495826721,4.855693340301514,4.855693340301514,1,0.0,2023-03-03,2023-03-05
Harris_201708281215_201709011700,during,Harris,0.5331806540489197,0.5331806540489197,4.498493671417236,4.498493671417236,1,0.0,2017-08-28,2017-09-01
Harris_201708281215_201709011700,post,Harris,0.45288679003715515,0.45555734634399414,3.734901189804077,3.7398053407669067,2,0.0,2017-08-28,2017-09-01
Harris_201708281215_201709011700,pre,Harris,0.35644352436065674,0.35644352436065674,3.2021539211273193,3.2021539211273193,1,0.004559894355943461,2017-08-28,2017-09-01
Harris_201801152200_201801161500,during,Harris,0.419717937707901,0.419717937707901,3.3672633171081543,3.3672633171081543,1,0.0,2018-01-15,2018-01-16
Harris_201801152200_201801161500,post,Harris,0.47299543023109436,0.5150734335184097,3.9037933349609375,4.247756481170654,2,0.007326994788113655,2018-01-15,2018-01-16
Harris_201801152200_201801161500,pre,Harris,0.42082658410072327,0.46986058354377747,3.382707357406616,3.8126485347747803,3,0.0012505410257344803,2018-01-15,2018-01-16
Harris_201801162215_201801171415,during,Harris,0.5571514368057251,0.5571514368057251,4.591719627380371,4.591719627380371,1,0.0,2018-01-16,2018-01-17
Harris_201801162215_201801171415,post,Harris,0.47299543023109436,0.47299543023109436,3.9037933349609375,3.9037933349609375,1,0.01465398957622731,2018-01-16,2018-01-17
Harris_201801162215_201801171415,pre,Harris,0.419717937707901,0.45732492208480835,3.3672633171081543,3.701302230358124,4,0.0009379057693008603,2018-01-16,2018-01-17
Harris_201801182015_201801190830,during,Harris,0.47299543023109436,0.47299543023109436,3.9037933349609375,3.9037933349609375,1,0.01465398957622731,2018-01-18,2018-01-19
Harris_201801182015_201801190830,pre,Harris,0.419717937707901,0.46228739619255066,3.3672633171081543,3.7581434845924377,4,0.0009379057693008603,2018-01-18,2018-01-19
Harris_201804161315_201804170015,during,Harris,0.4054354131221771,0.4304222911596298,3.3064358234405518,3.579916477203369,2,0.0,2018-04-16,2018-04-17
Harris_201804161315_201804170015,pre,Harris,0.418727308511734,0.45655293265978497,3.348461389541626,3.7339043617248535,3,0.0,2018-04-16,2018-04-17
Harris_201805271415_201805290930,during,Harris,0.41211822628974915,0.42722639441490173,3.4949488639831543,3.560817241668701,3,0.0010326581356710322,2018-05-27,2018-05-29
Harris_201805271415_201805290930,post,Harris,0.38253843784332275,0.48065438121557236,3.7301864624023438,4.20167338848114,4,0.0,2018-05-27,2018-05-29
Harris_201805271415_201805290930,pre,Harris,0.3695583939552307,0.4569859504699707,3.154008626937866,3.8522876103719077,3,0.006043044234460407,2018-05-27,2018-05-29
Harris_201805291815_201805300630,during,Harris,0.4343710243701935,0.49537716805934906,3.6778030395507812,4.118703126907349,2,0.0,2018-05-29,2018-05-30
Harris_201805291815_201805300630,post,Harris,0.38253843784332275,0.4554114043712616,3.7301864624023438,4.082363446553548,3,0.0,2018-05-29,2018-05-30
Harris_201805291815_201805300630,pre,Harris,0.41211822628974915,0.4621769040822983,3.4949488639831543,3.8518757224082947,4,0.0032157821087652294,2018-05-29,2018-05-30
Harris_201811031330_201811041030,during,Harris,0.41409868001937866,0.41409868001937866,3.379206418991089,3.379206418991089,1,0.0,2018-11-03,2018-11-04
Harris_201811031330_201811041030,pre,Harris,0.399598628282547,0.4247921903928121,3.2665228843688965,3.466548283894857,3,5.522236019631185e-07,2018-11-03,2018-11-04
Harris_202005280515_202005300515,during,Harris,0.5252975821495056,0.5252975821495056,4.510727882385254,4.510727882385254,1,0.00018775602466746043,2020-05-28,2020-05-30
Harris_202005280515_202005300515,post,Harris,0.3345160484313965,0.4363095462322235,3.602419376373291,4.047501087188721,2,0.0007567304092234606,2020-05-28,2020-05-30
Harris_202005280515_202005300515,pre,Harris,0.2649453580379486,0.3537779152393341,3.595146894454956,3.6184682846069336,2,0.0016193957127568462,2020-05-28,2020-05-30
Harris_202007121330_202007141930,during,Harris,0.40103256702423096,0.4573372503121694,3.5489063262939453,4.054280360539754,3,9.387801233373021e-05,2020-07-12,2020-07-14
Harris_202007121330_202007141930,post,Harris,0.23354947566986084,0.40826634764671327,3.4844069480895996,3.973249006271362,5,0.0009106535345439806,2020-07-12,2020-07-14
Harris_202007121330_202007141930,pre,Harris,0.42605462670326233,0.4427823523680369,3.7801337242126465,3.8398472468058267,3,0.0,2020-07-12,2020-07-14
Harris_202208102245_202208120945,post,Harris,0.20974576473236084,0.38643039762973785,4.269392967224121,4.43223237991333,4,0.00041071630396006967,2022-08-10,2022-08-12
Harris_202301252330_202301280415,during,Harris,0.3857637643814087,0.5142017900943756,4.28978157043457,4.898801803588867,3,0.0020966089421199747,2023-01-25,2023-01-28
Harris_202301252330_202301280415,pre,Harris,0.5334820747375488,0.5334820747375488,4.232883453369141,4.232883453369141,1,0.0,2023-01-25,2023-01-28
